split,model,metric,estimate,ci_low,ci_high
random,LightGBM,MAE,0.014260757381401994,0.010108367849595143,0.022252218422307197
random,LightGBM,RMSE,0.3672942341319482,0.01452723115874603,0.6358296005794205
random,SchNet,MAE,0.014571942562244778,0.010455636303039318,0.02258316152647299
random,SchNet,RMSE,0.36691092447177587,0.0138974928279147,0.635195657008708
random,Ensemble,MAE,0.013131476721298628,0.009035818785906815,0.021121767296613487
random,Ensemble,RMSE,0.36704885693529427,0.01243561862153102,0.6354964033253269
scaffold,LightGBM,MAE,0.021820784058578534,0.013797572605733265,0.033813572082137595
scaffold,LightGBM,RMSE,0.5152996236288312,0.021318723676630343,0.8156793043126822
scaffold,SchNet,MAE,0.019954336153891025,0.011980514606784506,0.03184012426060262
scaffold,SchNet,RMSE,0.5147546030114992,0.01625709113293169,0.8149889855710357
scaffold,Ensemble,MAE,0.019681339452941315,0.011697096258763697,0.0316264783319684
scaffold,Ensemble,RMSE,0.5149851385503482,0.017383800831811055,0.8153198446528688
