similarity_bin,similarity_midpoint,model,samples,mae
"(0.157, 0.303]",0.22999999999999998,LightGBM,2152,0.017636377652545394
"(0.157, 0.303]",0.22999999999999998,SchNet,2152,0.013986169846654274
"(0.157, 0.303]",0.22999999999999998,Ensemble,2152,0.014613854939740439
"(0.303, 0.344]",0.3235,LightGBM,2166,0.029566441508467323
"(0.303, 0.344]",0.3235,SchNet,2166,0.027687557767774703
"(0.303, 0.344]",0.3235,Ensemble,2166,0.02725642805161773
"(0.344, 0.389]",0.3665,LightGBM,2116,0.012192549343937336
"(0.344, 0.389]",0.3665,SchNet,2116,0.011281557155009453
"(0.344, 0.389]",0.3665,Ensemble,2116,0.01055788678226883
"(0.389, 0.857]",0.623,LightGBM,2137,0.02771741166995195
"(0.389, 0.857]",0.623,SchNet,2137,0.026713782218062698
"(0.389, 0.857]",0.623,Ensemble,2137,0.026140304254772217
