split,size_feature,bin,bin_midpoint,model,samples,mae,mae_ci_low,mae_ci_high
random,n_atoms,"(3.999, 16.0]",9.9995,LightGBM,2492,0.013386103652345849,0.012948156542379128,0.013885396504547736
random,n_atoms,"(3.999, 16.0]",9.9995,SchNet,2492,0.012340551509229533,0.011931785050802569,0.012754118578451042
random,n_atoms,"(3.999, 16.0]",9.9995,Ensemble,2492,0.011282462786697315,0.01094537313910954,0.011698236103691969
random,n_atoms,"(16.0, 18.0]",17.0,LightGBM,2282,0.010188417599968072,0.009773039090378032,0.010619881560845488
random,n_atoms,"(16.0, 18.0]",17.0,SchNet,2282,0.010558965105170902,0.010147314059377738,0.01090036504743646
random,n_atoms,"(16.0, 18.0]",17.0,Ensemble,2282,0.009112155563055562,0.00876900304252418,0.009483400884153084
random,n_atoms,"(18.0, 20.0]",19.0,LightGBM,2000,0.00855363995761352,0.008165830160076422,0.008947671644098074
random,n_atoms,"(18.0, 20.0]",19.0,SchNet,2000,0.009609744015000001,0.009230408179000001,0.009953227084250001
random,n_atoms,"(18.0, 20.0]",19.0,Ensemble,2000,0.008024040730490544,0.007697860017688586,0.008354200466803347
random,n_atoms,"(20.0, 29.0]",24.5,LightGBM,1797,0.026996957337783206,0.007804592706230911,0.06497004974638967
random,n_atoms,"(20.0, 29.0]",24.5,SchNet,1797,0.028285152442960485,0.009131934688091262,0.06615356129396215
random,n_atoms,"(20.0, 29.0]",24.5,Ensemble,1797,0.026484123126281,0.007351547106498303,0.08309209732779765
random,n_heavy_atoms,"(3.999, 9.0]",6.4995,LightGBM,8571,0.014260757381401994,0.010124342570510918,0.024305136352260035
random,n_heavy_atoms,"(3.999, 9.0]",6.4995,SchNet,8571,0.014571942562244778,0.010438117113639015,0.022623117100142923
random,n_heavy_atoms,"(3.999, 9.0]",6.4995,Ensemble,8571,0.013131476721298628,0.00902519395893129,0.021114529793737763
random,n_bonds,"(2.999, 17.0]",9.9995,LightGBM,2907,0.012740730989453618,0.012273591843985836,0.013174947059111123
random,n_bonds,"(2.999, 17.0]",9.9995,SchNet,2907,0.011897308744754044,0.011501390525292398,0.012268938364912281
random,n_bonds,"(2.999, 17.0]",9.9995,Ensemble,2907,0.010775798348772233,0.010428178057600287,0.01110852025967781
random,n_bonds,"(17.0, 19.0]",18.0,LightGBM,2102,0.009490567831086462,0.009055110864235414,0.00993110978428925
random,n_bonds,"(17.0, 19.0]",18.0,SchNet,2102,0.010269091764985727,0.009886961417935299,0.010702518730019029
random,n_bonds,"(17.0, 19.0]",18.0,Ensemble,2102,0.008708751062464227,0.008359084309020914,0.009041160621281675
random,n_bonds,"(19.0, 21.0]",20.0,LightGBM,1915,0.008528171657949578,0.0081332330407295,0.00895656560769446
random,n_bonds,"(19.0, 21.0]",20.0,SchNet,1915,0.009907618809399478,0.00953003845704961,0.010306135007180155
random,n_bonds,"(19.0, 21.0]",20.0,Ensemble,1915,0.008086825030797853,0.007745601393188395,0.008435345632956838
random,n_bonds,"(21.0, 28.0]",24.5,LightGBM,1647,0.029697039601540746,0.008692398682956768,0.07127615079834101
random,n_bonds,"(21.0, 28.0]",24.5,SchNet,1647,0.030207603078324232,0.009297932920916819,0.07190400422237402
random,n_bonds,"(21.0, 28.0]",24.5,Ensemble,1647,0.028799378573826334,0.007938057624690605,0.07016131174900393
random,molecular_weight,"(52.035000000000004, 122.129]",87.08200000000001,LightGBM,2143,0.010852477515886794,0.010338082505931028,0.011308273326368442
random,molecular_weight,"(52.035000000000004, 122.129]",87.08200000000001,SchNet,2143,0.011829416785347643,0.011348670193945403,0.01226424928771582
random,molecular_weight,"(52.035000000000004, 122.129]",87.08200000000001,Ensemble,2143,0.009834328064069963,0.00940169172100084,0.010246996554719903
random,molecular_weight,"(122.129, 125.131]",123.63,LightGBM,2184,0.02592258529523813,0.010040556963183872,0.05750546052233939
random,molecular_weight,"(122.129, 125.131]",123.63,SchNet,2184,0.02586519907051282,0.010054007579899268,0.05706381877896063
random,molecular_weight,"(122.129, 125.131]",123.63,Ensemble,2184,0.02469683657777992,0.0088761451243793,0.0559730985975116
random,molecular_weight,"(125.131, 127.187]",126.15899999999999,LightGBM,2183,0.009705216781903744,0.00930103897646015,0.010099952393342344
random,molecular_weight,"(125.131, 127.187]",126.15899999999999,SchNet,2183,0.010048886074209803,0.009705295693197434,0.01039499393586807
random,molecular_weight,"(125.131, 127.187]",126.15899999999999,Ensemble,2183,0.008745359225769599,0.00838616284736648,0.009119185751732132
random,molecular_weight,"(127.187, 144.092]",135.6395,LightGBM,2061,0.010272041571933576,0.009774383663760175,0.01068683434937026
random,molecular_weight,"(127.187, 144.092]",135.6395,SchNet,2061,0.010247145298398836,0.00989880815756914,0.010608048623605044
random,molecular_weight,"(127.187, 144.092]",135.6395,Ensemble,2061,0.00894998139797294,0.008610521351416881,0.009317559290212109
scaffold,n_atoms,"(6.999, 16.0]",11.4995,LightGBM,2532,0.016115090440694438,0.015410166335273342,0.016750755945529473
scaffold,n_atoms,"(6.999, 16.0]",11.4995,SchNet,2532,0.012736537343996839,0.012254015942831752,0.01317934698815166
