split_strategy,model,selected_parameters,validation_mae,test_mae,test_rmse,test_r2,training_time_seconds,train_samples,validation_samples,test_samples
random,Morgan + RDKit 2D + simple 3D + LightGBM,"{""min_child_samples"": 30, ""num_leaves"": 63}",0.013885612249981544,0.014260757381401992,0.3672942341319482,0.017775429073174753,106.24536983703729,39995,8570,8571
random,RDKit 2D + LightGBM,"{""min_child_samples"": 30, ""num_leaves"": 63}",0.014131979721248229,0.014442494080761533,0.36735384534137583,0.017456576553469993,69.09377575101098,39995,8570,8571
random,Morgan + LightGBM,"{""min_child_samples"": 30, ""num_leaves"": 63}",0.017712475500754936,0.017992081308161625,0.3675374820106713,0.01647400292930068,124.67591209698003,39995,8570,8571
random,RDKit 2D + Ridge,"{""alpha"": 10.0}",0.023180039702388203,0.023821315520533796,0.36779958507744986,0.01507073327515196,5.384906710998621,39995,8570,8571
random,Size/composition + Ridge,"{""alpha"": 0.1}",0.024815932331474683,0.02544900884422729,0.368174972786725,0.013059208328458083,0.44223385193618014,39995,8570,8571
random,Mean predictor,{},0.043148163878127706,0.04339780031452712,0.3706031995016641,-2.0753145717478105e-06,0.001711299002636224,39995,8570,8571
random,Morgan + Ridge,"{""alpha"": 10.0}",0.054755665771872186,0.05586381743811014,0.37502783940886386,-0.024022710258051028,0.31113201699918136,39995,8570,8571
scaffold,RDKit 2D + LightGBM,"{""min_child_samples"": 30, ""num_leaves"": 63}",0.014571363878288036,0.02163639392472055,0.5152643328769488,0.010570674031629923,40.396960159006994,39995,8570,8571
scaffold,Morgan + RDKit 2D + simple 3D + LightGBM,"{""min_child_samples"": 30, ""num_leaves"": 63}",0.014583239382175768,0.02182078405857853,0.5152996236288312,0.010435136217786578,66.51836708496558,39995,8570,8571
scaffold,Morgan + LightGBM,"{""min_child_samples"": 30, ""num_leaves"": 63}",0.017599530648559764,0.026000826303132062,0.5156101267978884,0.00924221627155164,48.17207165900618,39995,8570,8571
