dataset_row_zero_based,mol_id,failing_operation,atom_index,exception_type,message,rdkit_version
484,26819,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
628,53493,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
897,44099,Chem.RemoveHs,5,AtomValenceException,"Explicit valence for atom # 5 C, 4, is greater than permitted",2026.03.4
1718,61385,Chem.RemoveHs,5,AtomValenceException,"Explicit valence for atom # 5 C, 4, is greater than permitted",2026.03.4
1904,68473,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
2023,79674,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
2261,11492,Chem.RemoveHs,5,AtomValenceException,"Explicit valence for atom # 5 C, 4, is greater than permitted",2026.03.4
2639,26624,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
2670,43514,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
3085,82161,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
3949,32619,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
4158,38911,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
4354,22934,Chem.RemoveHs,4,AtomValenceException,"Explicit valence for atom # 4 C, 4, is greater than permitted",2026.03.4
4578,70249,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
4834,66541,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
5321,36036,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
5455,43727,Chem.RemoveHs,6,AtomValenceException,"Explicit valence for atom # 6 C, 4, is greater than permitted",2026.03.4
6036,77842,Chem.RemoveHs,5,AtomValenceException,"Explicit valence for atom # 5 C, 4, is greater than permitted",2026.03.4
6166,30106,Chem.RemoveHs,6,AtomValenceException,"Explicit valence for atom # 6 C, 4, is greater than permitted",2026.03.4
6399,78749,Chem.RemoveHs,4,AtomValenceException,"Explicit valence for atom # 4 C, 4, is greater than permitted",2026.03.4
6725,58168,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
7047,77103,Chem.RemoveHs,6,AtomValenceException,"Explicit valence for atom # 6 C, 4, is greater than permitted",2026.03.4
7144,55488,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
7272,51315,Chem.RemoveHs,7,AtomValenceException,"Explicit valence for atom # 7 C, 4, is greater than permitted",2026.03.4
7380,85140,Chem.RemoveHs,2,AtomValenceException,"Explicit valence for atom # 2 C, 4, is greater than permitted",2026.03.4
7489,53092,Chem.RemoveHs,4,AtomValenceException,"Explicit valence for atom # 4 C, 4, is greater than permitted",2026.03.4
7499,91886,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
7697,63003,Chem.RemoveHs,5,AtomValenceException,"Explicit valence for atom # 5 C, 4, is greater than permitted",2026.03.4
7847,88905,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
8149,59242,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
9113,21547,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
9731,89642,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
9756,74011,Chem.RemoveHs,3,AtomValenceException,"Explicit valence for atom # 3 C, 4, is greater than permitted",2026.03.4
10081,19423,Chem.RemoveHs,4,AtomValenceException,"Explicit valence for atom # 4 C, 4, is greater than permitted",2026.03.4
10202,82898,Chem.RemoveHs,1,AtomValenceException,"Explicit valence for atom # 1 C, 4, is greater than permitted",2026.03.4
