mol_id,true_gap,schnet_prediction,lightgbm_prediction,schnet_absolute_error,lightgbm_absolute_error,n_atoms,scaffold,schnet_error_improvement,structure_group
53802,0.2066,0.16786669,0.20538222964987551,0.038733304,0.001217765844013341,18,C1[C@@H2][NH2+]1,-0.03751553770289218,cyclic
104043,0.316,0.3104601,0.29605973292884463,0.005539924,0.019940281614688693,18,[C@@H2]1[C@H]2[C@@H]3[C@@H]([N@H+]13)[C@]21[C@H2]O[C@H2]1,0.014400357708362399,cyclic
58091,0.1978,0.19640514,0.2095550954087395,0.001394853,0.01175509986716694,17,O=C1CC(=O)[C@@H2][C@@H2]1,0.010360246871294443,cyclic
43933,0.2071,0.1984603,0.24750351690984626,0.008639708,0.04040351295209785,19,,0.03176380479074378,acyclic
40787,0.2688,0.2603302,0.2661941117218402,0.00846979,0.0026058786937329104,20,C1[C@H2][C@@H2]N1,-0.00586391152652771,cyclic
54482,0.2945,0.3075588,0.3132186280068201,0.013058811,0.018718634682540314,21,C1[C@@H2][C@@]2(C[C@@H2]2)[C@@H2]1,0.005659823256377594,cyclic
47438,0.217,0.19915944,0.21675390345992898,0.01784055,0.00024608926830435585,21,C1=C[C@H2]CC1,-0.017594460081480495,cyclic
39982,0.209,0.1997628,0.19396491785716644,0.0092372,0.01503508846092591,16,[C+]1C=CN=CO1,0.005797888439182136,cyclic
7217,0.2137,0.2284427,0.2125960599190105,0.014742702,0.0011039365523945188,20,C1[C@@H]2C[N@H+]1[C@@H2]2,-0.013638765693317761,cyclic
77768,0.2705,0.25751963,0.2650592023345985,0.012980372,0.0054408019569359145,22,O=C1[C@@H2][C@@H2]CN1,-0.007539569756702391,cyclic
116047,0.3389,0.332007,0.32763921376896743,0.006893009,0.011260786087981423,23,C1[C@@H2]C1[C@H]1CO1,0.004367777140608986,cyclic
83625,0.2447,0.2430205,0.2567788755395484,0.001679495,0.012078875849492576,19,,0.0103993808724952,acyclic
99658,0.2655,0.2706499,0.2577067719330944,0.005149901,0.007793237126811625,15,,0.0026433362135730998,acyclic
12984,0.1884,0.20146209,0.20042494099622132,0.01306209,0.012024940662435313,16,O=C1C[C@H2]C=CN1,-0.0010371490191900534,cyclic
98417,0.222,0.19421718,0.21790059767373082,0.027782828,0.004099405187292127,15,,-0.02368342242844579,acyclic
55210,0.3027,0.2969987,0.2901987033431653,0.0057013035,0.012501309579121711,15,O=C1O[C@H]2C[C@H]2O1,0.006800006097066047,cyclic
91793,0.2212,0.18006511,0.2144375510040747,0.041134894,0.006762453215934161,19,C1[C@H2][C@H2]1,-0.034372440678261396,cyclic
3145,0.2373,0.2453631,0.22220721907665325,0.008063108,0.015092774557570687,14,O=C1[C@@H]2C[C@H]1O2,0.007029666828612557,cyclic
17377,0.3457,0.3098682,0.3074227309514489,0.03583181,0.038277264804700395,24,,0.0024454557608161176,acyclic
96667,0.3008,0.30111176,0.29889756773537884,0.0003117621,0.0019024279254030163,20,C1[C@@H]2[C@@H2][C@H]3[C@H]([C@@H2][N@@H+]13)O2,0.0015906658309053356,cyclic
99531,0.2185,0.21451102,0.2108258201403289,0.0039889812,0.007674183078321906,18,O=C1C[C@H]2NC2[C@@H2]1,0.0036852018313736634,cyclic
41110,0.2322,0.2325574,0.23149797613773818,0.00035740435,0.0007020205720854322,16,c1nc2c(o1)[C@@H2]C[C@@H2]2,0.0003446162208509962,cyclic
28768,0.2446,0.22929543,0.24709977894464047,0.015304565,0.0024997809473565336,19,c1cn([C@H]2[C@@H2][C@H2]2)cn1,-0.012804784482330966,cyclic
58804,0.2243,0.21843207,0.2250051724406238,0.0058679283,0.0007051753493304558,23,,-0.005162752917194813,acyclic
92258,0.2702,0.27763617,0.27995902143947565,0.0074361563,0.00975900732509577,17,,0.0023228510522075863,acyclic
52833,0.2316,0.2434842,0.219344895252837,0.011884198,0.01225510620151632,19,O=C1C2[C@H2][C@@H2]C1O2,0.0003709086087810287,cyclic
64066,0.3178,0.312544,0.30953914434134955,0.005255997,0.008260841067433411,22,C1[C@@H2][C@]2([C@@H2]N2)[C@@H2]1,0.0030048438864946903,cyclic
2431,0.2106,0.20889057,0.20677948512345418,0.0017094314,0.003820518476666368,14,c1cc2c(o1)O[C@H2]O2,0.0021110870668305526,cyclic
47873,0.2162,0.22330192,0.21762756290807359,0.007101923,0.0014275688208543469,19,,-0.005674354406455834,acyclic
99010,0.2934,0.30938777,0.30450633389885423,0.015987784,0.01110634429390428,23,C1CC1,-0.004881439376521135,cyclic
69359,0.25,0.26121968,0.2550032994275904,0.01121968,0.005003299427590424,20,O=C1N[C@@H]2CC12,-0.00621638088170523,cyclic
104376,0.2235,0.21516736,0.21934426300415527,0.00833264,0.004155735446123965,17,C1[C@@H2][C@@]12O[C@H]1[C@H2][C@H]12,-0.0041769044865084815,cyclic
108646,0.2296,0.22770654,0.23780687647759338,0.0018934608,0.008206879076355894,19,,0.00631341832577606,acyclic
2688,0.2166,0.22750036,0.22758782438459113,0.010900363,0.010987823526284246,13,c1c[nH]nn1,8.746020021155321e-05,cyclic
111027,0.245,0.23869237,0.2515795167558506,0.0063076317,0.006579511987479025,17,C1O[C@H]2[C@@H2][C@H]2[N@H+]2[C@H2][C@@H]12,0.00027188025644570013,cyclic
2590,0.1909,0.19990839,0.21091893530434244,0.009008393,0.020018937354742222,20,C1C[NH2+]1,0.011010544663129979,cyclic
63073,0.2132,0.20066917,0.21331521684890134,0.0125308335,0.00011521394019467501,19,c1cncnc1,-0.012415619542547635,cyclic
35002,0.2586,0.27552474,0.2593322807477278,0.016924739,0.0007322841809553338,17,C1=NC[C@H2]O[C@@H2]O1,-0.016192454703016834,cyclic
100466,0.2485,0.2587271,0.25583158626502417,0.010227099,0.007331581854280456,18,C1C2[C@@H2]N[C@@H]12,-0.0028955172067318125,cyclic
81899,0.2614,0.26396585,0.2522453363374608,0.002565831,0.009154677824602775,17,[CH+]1[NH2+]C[C@H2]O1,0.006588846878634147,cyclic
38312,0.2141,0.20721452,0.21081611352115232,0.006885484,0.0032838897213403606,19,O=C1CC=C[C@@H2]1,-0.003601594139629183,cyclic
100074,0.2714,0.27705783,0.27624236202748503,0.005657822,0.004842357402164599,15,C1O[C@H]2[C@@H2]C12,-0.0008154644915274178,cyclic
108674,0.3,0.323976,0.3054020741273442,0.023975998,0.005402062206415259,22,C1[C@@H2]N1,-0.018573935956808008,cyclic
91335,0.2441,0.2564037,0.2571877846883842,0.01230371,0.013087780253798642,18,C1[C@H2][C@@H]2N[C@H]12,0.0007840702699729585,cyclic
53704,0.3023,0.3139366,0.3075699732109085,0.011636585,0.005269967059709169,21,C1OC2[C@@H2]C1[C@@H2]2,-0.0063666179374679555,cyclic
103154,0.2976,0.29364085,0.2845549085547431,0.003959149,0.013045092541982384,17,C1O[C@H]2[C@@H2]O[C@@H]12,0.009085943419744225,cyclic
23854,0.2211,0.21651222,0.21868155827649588,0.0045877844,0.0024184442507410586,12,c1cnon1,-0.0021693401587819516,cyclic
39191,0.2154,0.1924637,0.214359332203958,0.0229363,0.0010406632422471362,19,C1=CC2[C@H2][C@H2][C@H]2[C@@H2]1,-0.021895636200997798,cyclic
